SALAD,CAESAR,,,,,,,
BSCS,,,,,,,,
2018-56231,,,,,,,,
CRSE NO.,Grade,Units,Weight,Cumulative,Term,,,
CMSC 12,1,3,3,3,,,,
CMSC 56,2.25,3,6.75,9.75,,,,
MATH 27,2,3,6,15.75,,,,
ETHICS 1,1,3,3,18.75,,,,
STS 1,1.75,3,5.25,24,,,,
HK 11,1.75,0,0,24,15,l/18/19,,15
CMSC 21,1.5,3,4.5,28.5,,,,
CMSC 57,1.5,3,4.5,33,,,,
MATH 28,1.5,3,4.5,37.5,,,,
ARTS 1,1,3,3,40.5,,,,
KAS 1,1,3,3,43.5,,,,
HK 12,2.5,0,0,43.5,15,ll/18/19,,15
CMSC 22,1.25,3,3.75,47.25,,,,
CMSC 150,2,3,6,53.25,,,,
CMSC 123,1.75,3,5.25,58.5,,,,
CMSC 130,1.75,3,5.25,63.75,,,,
PI 10,2,3,6,69.75,,,,
HK 12,1.75,0,0,69.75,,,,
NSTP 1,1.75,0,0,69.75,15,l/19/20,,15
CMSC 23,1.25,3,3.75,73.5,,,,
CMSC 100,2,3,6,79.5,,,,
CMSC 127,1.75,3,5.25,84.75,,,,
CMSC 131,1.5,3,4.5,89.25,,,,
STAT 101,1.5,3,4.5,93.75,,,,
HK 12,1.75,0,0,93.75,,,,
NSTP 2,2,0,0,93.75,15,ll/19/20,,15
CMSC 124,1,3,3,96.75,,,,
CMSC 125,2,3,6,102.75,,,,
CMSC 141,1.75,3,5.25,108,,,,
CMSC 170,5,3,15,123,,,,
CMSC 132,1.75,3,5.25,128.25,,,,
COMM 10,1,3,3,131.25,18,l/20/21,,18
CMSC 128,2,3,6,137.25,,,,
CMSC 142,2.25,3,6.75,144,,,,
CMSC 137,2,3,6,150,,,,
CMSC 173,1.25,3,3.75,153.75,,,,
CMSC 180,2,3,6,159.75,,,,
MATH 10,1,3,3,162.75,18,ll/20/21,,18
CMSC 190,S,1,0,162.75,,,,
CMSC 199,S,1,0,162.75,,,,
ENG 10,1.75,3,5.25,168,,,,
SOSC 3,2,3,6,174,,,,
JAP 10,1.5,3,4.5,178.5,,,,
CMSC 165,1.75,3,5.25,183.75,,,,
SOC 130,1.5,3,4.5,188.25,16,l/21/22,,16
CMSC 190,1.25,1(3),3.75,192,,,,
SAS 1,1,3,3,195,,,,
AMAT 170,3,3,9,204,,,,
SPAN 1,1.75,3,5.25,209.25,,,,
CMSC 161,3,3,9,218.25,15,ll/21/22,,15
,127,,,218.25,,,,
GWA,1.718503937,,,,,,,
127,,,,,,,,
2nd Semester 2019-2020 grade included in the computation,,,,,,,,
UNITS EARNED,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
